City Name,Zone Name,Ward Name,Ward No.,Total number of households (HH),HH part of the city sewerage network,Number of Households with toilets,Number of free public toilets - Female,Number of free public toilets - Male,Number of paid public toilets - Female,Number of paid public toilets - Male
Pune,Zone 1,Nagar Road,1,77151,77151,67121,103,103,NA,NA
Pune ,Zone 1,Yerwada Kalas Dhanori,2,72121,72121,68515,144,144,NA,NA
Pune,Zone 1,Dhole Patil,3,44357,44357,34598,73,73,NA,NA
Pune,Zone 2,Aund Baner,4,69435,69435,65963,69,69,NA,NA
Pune,Zone 2,Shivajinagar Ghole road,5,40268,40268,36241,138,138,NA,NA
Pune ,Zone 2,Kothrud Bawdhan,6,76935,76935,67703,69,69,NA,NA
Pune,Zone 3,Dhankawadi Sahakarnagar,7,62667,62667,54520,138,138,NA,NA
Pune,Zone 3,Sinhagad road,8,96102,96102,76882,9,9,NA,NA
Pune,Zone 3,Warje Karvenagar,9,59906,59906,52717,64,64,NA,NA
Pune,Zone 4,Hadpasar Mundhwa,10,79533,79533,70784,43,43,NA,NA
Pune,Zone 4,Wanawadi Ramtekadi,11,73481,73481,61724,242,242,NA,NA
Pune,Zone 4,Kondava-Yewalewadi,12,58870,58870,50040,104,104,NA,NA
Pune,Zone 5,Kasaba Vishrambaug,13,53120,53120,46746,70,70,NA,NA
Pune,Zone 5,Bavani peth,14,57985,57985,48707,98,98,NA,NA
Pune,Zone 5,Bibwewadi,15,44795,44795,42555,139,139,NA,NA
